,Type,Subtype,Lat,Long,Depth,Date,YN_Lat,YN_Lon,YN_Depth,Phi,Delta-a,Delta-b,Depth_err,Year,Month,Day,Julday,Hour,Minute,Station,Url
37,A08,deep,-28,-28.1,940,7705161052,-28,-28.1,940,51,2,1.2,21,1977,5,16,136,10,52,12,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s12/1977/136/xa.s12.00.mh1.1977.136.0.mseed
38,A09,deep,-37.8,-30.8,975,7704161958,-33.66,-27.33,971,14,4,2.6,43,1977,4,16,106,19,58,12,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s12/1977/106/xa.s12.00.mh1.1977.106.0.mseed
39,A11,deep,8.83,15.75,1179,7706180501,9.3,17.5,1200,-42,0.8,0.7,12,1977,6,18,169,5,1,12,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s12/1977/169/xa.s12.00.mh1.1977.169.0.mseed
40,A14,deep,-25.82,-30.48,880,7305281853,-28.7,-33.9,880,50,1.7,1.3,22,1973,5,28,148,18,53,12,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s12/1973/148/xa.s12.00.mh1.1973.148.0.mseed
41,A16,deep,6.66,4.06,1044,7210081524,6.8,5.1,1105,9,1.2,0.7,18,1972,10,8,282,15,24,12,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s12/1972/282/xa.s12.00.mh1.1972.282.0.mseed
42,A17,deep,21.56,-16.27,832,7211070852,23.1,-18,861,-47,2.6,0.4,15,1972,11,7,312,8,52,12,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s12/1972/312/xa.s12.00.mh1.1972.312.0.mseed
43,A18,deep,17.54,31.01,860,7301052250,18.6,34.7,882,-67,1.8,0.9,24,1973,1,5,5,22,50,,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s12/1973/5/xa.s12.00.mh1.1973.5.0.mseed
44,A20,deep,20.46,-34.84,1021,7205151718,21.7,-41,1055,-1,2.4,0.8,13,1972,5,15,136,17,18,12,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s12/1972/136/xa.s12.00.mh1.1972.136.0.mseed
45,A24,deep,-32.89,-34.32,997,7706121817,-36.8,-38.9,980,57,2.1,1.7,32,1977,6,12,163,18,17,12,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s12/1977/163/xa.s12.00.mh1.1977.163.0.mseed
46,A25,deep,33.31,53.67,922,7706092015,34.4,59.3,898,87,2,1.7,26,1977,6,9,160,20,15,12,https://pds-geosciences.wustl.edu/lunar/urn-nasa-pds-apollo_pse/data/xa/continuous_waveform/s12/1977/160/xa.s12.00.mh1.1977.160.0.mseed
